//X Y Z Scalar_field Scalar_field_#2 Scalar_field_#3
11.897900 -1.715000 2254.434082 1562.0000 831.0000 1300.0000
11.948900 -1.736300 2254.419189 1563.0000 825.0000 1362.0000
11.935400 -1.745400 2254.427734 1563.0000 826.0000 1301.0000
11.934700 -1.723300 2254.416016 1563.0000 827.0000 1281.0000
11.913300 -1.749500 2254.435791 1563.0000 828.0000 1269.0000
11.911000 -1.683600 2254.400879 1563.0000 831.0000 1280.0000
11.945800 -1.742500 2254.410400 1564.0000 825.0000 1328.0000
11.924600 -1.746100 2254.417969 1564.0000 827.0000 1340.0000
11.906300 -1.741500 2254.420410 1564.0000 829.0000 1285.0000
11.918300 -1.689300 2254.388916 1564.0000 830.0000 1351.0000
11.910800 -1.683100 2254.387695 1564.0000 831.0000 1388.0000
11.902000 -1.680200 2254.388428 1564.0000 832.0000 1327.0000
11.900600 -1.660300 2254.378174 1564.0000 833.0000 1293.0000
12.038000 -1.908300 2254.462646 1565.0000 809.0000 1330.0000
11.943700 -1.746600 2254.400146 1565.0000 825.0000 1309.0000
11.940500 -1.731500 2254.392822 1565.0000 826.0000 1346.0000
11.920800 -1.706700 2254.384766 1565.0000 829.0000 1293.0000
11.918100 -1.688800 2254.375977 1565.0000 830.0000 1397.0000
11.910300 -1.683300 2254.375000 1565.0000 831.0000 1484.0000
11.902100 -1.679000 2254.375000 1565.0000 832.0000 1379.0000
12.034000 -1.917100 2254.455322 1566.0000 809.0000 1217.0000
11.936500 -1.762800 2254.397949 1566.0000 825.0000 1320.0000
11.924000 -1.769500 2254.404785 1566.0000 826.0000 1319.0000
11.921400 -1.727600 2254.383057 1566.0000 828.0000 1312.0000
11.919200 -1.709500 2254.373779 1566.0000 829.0000 1342.0000
11.914800 -1.695600 2254.367676 1566.0000 830.0000 1342.0000
11.910800 -1.681200 2254.360840 1566.0000 831.0000 1327.0000
11.903000 -1.676100 2254.360107 1566.0000 832.0000 1344.0000
11.888700 -1.686200 2254.369385 1566.0000 833.0000 1328.0000
12.031000 -1.923400 2254.446533 1567.0000 809.0000 1127.0000
11.910100 -1.682000 2254.348633 1567.0000 831.0000 1321.0000
11.892900 -1.698700 2254.362305 1567.0000 832.0000 1333.0000
11.893500 -1.674300 2254.349121 1567.0000 833.0000 1339.0000
11.882200 -1.677200 2254.353516 1567.0000 834.0000 1425.0000
11.860900 -1.703500 2254.373291 1567.0000 835.0000 1308.0000
11.920000 -1.729100 2254.358398 1568.0000 828.0000 1337.0000
11.908500 -1.732800 2254.363281 1568.0000 829.0000 1333.0000
11.908100 -1.709400 2254.351074 1568.0000 830.0000 1314.0000
11.898600 -1.707900 2254.352783 1568.0000 831.0000 1299.0000
11.889600 -1.705600 2254.354004 1568.0000 832.0000 1316.0000
11.893700 -1.672900 2254.335205 1568.0000 833.0000 1311.0000
11.884400 -1.671100 2254.336914 1568.0000 834.0000 1417.0000
11.874900 -1.670100 2254.338867 1568.0000 835.0000 1305.0000
11.906900 -1.758900 2254.364990 1569.0000 828.0000 1339.0000
11.900800 -1.749800 2254.361816 1569.0000 829.0000 1332.0000
11.904800 -1.716200 2254.342529 1569.0000 830.0000 1316.0000
11.884900 -1.738900 2254.360107 1569.0000 831.0000 1319.0000
11.898400 -1.684200 2254.327148 1569.0000 832.0000 1363.0000
11.893800 -1.671800 2254.321777 1569.0000 833.0000 1292.0000
11.885000 -1.668900 2254.322754 1569.0000 834.0000 1352.0000
11.858300 -1.707700 2254.350586 1569.0000 835.0000 1334.0000
11.897700 -1.756300 2254.353027 1570.0000 829.0000 1289.0000
11.891400 -1.746900 2254.349609 1570.0000 830.0000 1297.0000
11.893200 -1.718600 2254.334229 1570.0000 831.0000 1307.0000
11.896500 -1.687600 2254.316650 1570.0000 832.0000 1333.0000
11.894100 -1.670300 2254.308105 1570.0000 833.0000 1301.0000
11.881300 -1.676700 2254.314941 1570.0000 834.0000 1355.0000
11.898900 -1.776100 2254.350342 1571.0000 828.0000 1281.0000
11.894000 -1.739700 2254.332275 1571.0000 830.0000 1312.0000
11.896800 -1.709400 2254.315430 1571.0000 831.0000 1317.0000
11.890600 -1.700600 2254.312500 1571.0000 832.0000 1316.0000
11.893100 -1.671700 2254.296387 1571.0000 833.0000 1342.0000
11.847000 -1.755400 2254.353271 1571.0000 834.0000 1302.0000
11.805300 -1.732500 2254.352295 1571.0000 839.0000 1212.0000
11.899800 -1.772900 2254.335693 1572.0000 828.0000 1309.0000
11.890600 -1.746700 2254.324219 1572.0000 830.0000 1281.0000
11.884300 -1.737700 2254.320801 1572.0000 831.0000 1310.0000
11.840000 -1.700000 2254.312744 1572.0000 837.0000 1241.0000
11.781100 -1.787200 2254.375000 1572.0000 839.0000 1154.0000
11.916300 -1.901800 2254.386963 1573.0000 821.0000 1191.0000
11.901600 -1.744300 2254.306885 1573.0000 829.0000 1301.0000
11.893100 -1.740000 2254.306885 1573.0000 830.0000 1295.0000
11.863300 -1.762300 2254.326904 1573.0000 832.0000 1320.0000
11.873300 -1.645600 2254.261963 1573.0000 836.0000 1283.0000
11.803300 -1.759900 2254.341553 1573.0000 838.0000 1254.0000
11.930100 -1.770600 2254.300537 1574.0000 825.0000 1248.0000
11.913200 -1.739600 2254.288574 1574.0000 828.0000 1245.0000
11.915600 -1.710700 2254.272705 1574.0000 829.0000 1272.0000
11.877600 -1.704900 2254.279541 1574.0000 833.0000 1301.0000
11.830500 -1.743900 2254.312988 1574.0000 836.0000 1271.0000
11.831800 -1.693200 2254.285645 1574.0000 838.0000 1309.0000
11.802200 -1.736700 2254.316650 1574.0000 839.0000 1282.0000
11.972800 -1.692700 2254.235107 1575.0000 824.0000 1194.0000
11.967500 -1.658900 2254.218506 1575.0000 826.0000 1277.0000
11.955800 -1.638800 2254.210938 1575.0000 828.0000 1273.0000
11.904400 -1.735900 2254.276123 1575.0000 829.0000 1299.0000
11.870600 -1.767000 2254.301514 1575.0000 831.0000 1305.0000
11.888100 -1.702800 2254.262695 1575.0000 832.0000 1312.0000
11.856700 -1.706000 2254.272949 1575.0000 835.0000 1317.0000
11.830300 -1.719700 2254.287109 1575.0000 837.0000 1285.0000
11.832200 -1.691400 2254.271729 1575.0000 838.0000 1260.0000
11.802800 -1.734500 2254.302490 1575.0000 839.0000 1253.0000
11.989500 -1.676000 2254.208984 1576.0000 823.0000 1142.0000
11.914300 -1.806100 2254.297852 1576.0000 825.0000 1241.0000
11.917100 -1.776500 2254.281494 1576.0000 826.0000 1255.0000
11.914900 -1.733800 2254.259521 1576.0000 828.0000 1232.0000
11.907400 -1.728100 2254.258301 1576.0000 829.0000 1218.0000
11.910700 -1.696300 2254.240479 1576.0000 830.0000 1262.0000
11.909500 -1.675400 2254.229980 1576.0000 831.0000 1353.0000
11.920600 -1.626100 2254.200928 1576.0000 832.0000 1327.0000
11.886000 -1.660300 2254.228027 1576.0000 834.0000 1269.0000
11.816500 -1.774400 2254.306885 1576.0000 836.0000 1264.0000
11.848400 -1.677000 2254.246826 1576.0000 837.0000 1271.0000
11.831300 -1.692500 2254.259766 1576.0000 838.0000 1294.0000
11.801700 -1.736100 2254.290771 1576.0000 839.0000 1156.0000
12.033800 -1.666700 2254.179932 1577.0000 819.0000 1211.0000
12.010700 -1.697500 2254.202148 1577.0000 820.0000 1073.0000
11.898900 -1.794800 2254.283203 1577.0000 827.0000 1288.0000
11.928700 -1.700600 2254.225342 1577.0000 828.0000 1256.0000
11.909500 -1.674300 2254.216553 1577.0000 831.0000 1405.0000
11.857500 -1.678700 2254.232666 1577.0000 836.0000 1318.0000
11.848700 -1.675400 2254.233154 1577.0000 837.0000 1295.0000
11.831700 -1.690800 2254.245850 1577.0000 838.0000 1293.0000
11.794400 -1.752100 2254.288086 1577.0000 839.0000 1103.0000
12.020800 -1.672700 2254.173584 1578.0000 820.0000 1180.0000
